geolocation,question,location,response,value,lowConfidenceLimit,highConfidenceLimit,sampleSize,breakOut,breakOutCategory,questionID,locationID
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),10.9,7.3,16.1,31,Age < 18,Maternal Age - 18 to 44 years in groupings,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),8.7,8.5,8.8,788,Age 18 - 44,Maternal Age - 18 to 44 years only,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),91.3,91.2,91.5,856,Age 18 - 44,Maternal Age - 18 to 44 years only,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),88.9,87.2,90.4,160,< 12 yrs,Maternal Education,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),93,92.3,93.6,399,>12 yrs,Maternal Education,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),9.4,8.5,10.3,326,12 yrs,Maternal Education,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),11.1,9.6,12.8,193,< 12 yrs,Maternal Education,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),7,6.4,7.7,293,>12 yrs,Maternal Education,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),90.6,89.7,91.5,322,12 yrs,Maternal Education,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),91.4,91.3,91.6,836,"White, non-Hispanic",Maternal Race/Ethnicity,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),8.6,8.4,8.7,761,"White, non-Hispanic",Maternal Race/Ethnicity,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),13.8,9.5,19.6,41,"Black, non-Hispanic",Maternal Race/Ethnicity,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),86.2,80.4,90.5,27,"Black, non-Hispanic",Maternal Race/Ethnicity,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),10.1,9.5,10.6,564,Medicaid,Medicaid Recipient,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),93.3,92.6,93.9,365,Non-Medicaid,Medicaid Recipient,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),6.7,6.1,7.4,256,Non-Medicaid,Medicaid Recipient,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),89.9,89.4,90.5,518,Medicaid,Medicaid Recipient,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),8.7,8.6,8.8,808,Non-Hispanic,Mother Hispanic,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),91.3,91.2,91.4,872,Non-Hispanic,Mother Hispanic,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),8.7,8.7,8.8,820,None,None,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),91.3,91.2,91.3,883,None,None,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),90.4,89.6,91.1,370,0,Number of Previous Live Births,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),91.9,91.4,92.5,513,1 or more,Number of Previous Live Births,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),9.6,8.9,10.4,396,0,Number of Previous Live Births,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),8.1,7.5,8.6,424,1 or more,Number of Previous Live Births,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),9.6,9.1,10.2,532,WIC,On WIC during Pregnancy,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),92.7,91.9,93.3,361,Non-WIC,On WIC during Pregnancy,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),7.3,6.7,8.1,276,Non-WIC,On WIC during Pregnancy,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),90.4,89.8,90.9,510,WIC,On WIC during Pregnancy,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),9.2,8.5,10,389,Unintended,Pregnancy Intendedness,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),90.8,90,91.5,394,Unintended,Pregnancy Intendedness,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),8.3,7.7,8.9,418,Intended,Pregnancy Intendedness,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),91.7,91.1,92.3,475,Intended,Pregnancy Intendedness,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),10.9,10,11.9,398,Smoker,Smoked 3 months before Pregnancy,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),89.1,88.1,90,333,Smoker,Smoked 3 months before Pregnancy,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),92.9,92.4,93.4,543,Non-Smoker,Smoked 3 months before Pregnancy,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),7.1,6.6,7.6,403,Non-Smoker,Smoked 3 months before Pregnancy,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),93,92.6,93.4,639,Non-Smoker,Smoked last 3 months of Pregnancy,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),7,6.6,7.4,469,Non-Smoker,Smoked last 3 months of Pregnancy,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,LBW (<=2500g),12.6,11.3,14,334,Smoker,Smoked last 3 months of Pregnancy,QUO7,54
"(38.665510202, -80.712640135)",Baby's Weight,West Virginia,NBW (>2500g),87.4,86,88.7,236,Smoker,Smoked last 3 months of Pregnancy,QUO7,54
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),7.7,7.1,8.5,462,Adequate PNC,Adequacy of Prenatal care,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),7.7,4.4,13,27,Unknown PNC,Adequacy of Prenatal care,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),87.5,83.8,90.5,118,Inadequate PNC,Adequacy of Prenatal care,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),12.5,9.5,16.2,117,Inadequate PNC,Adequacy of Prenatal care,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92.3,91.5,92.9,703,Adequate PNC,Adequacy of Prenatal care,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92.3,87,95.6,34,Unknown PNC,Adequacy of Prenatal care,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),7.1,5.9,8.4,226,Intermediate PNC,Adequacy of Prenatal care,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92.9,91.6,94.1,358,Intermediate PNC,Adequacy of Prenatal care,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),7.2,6.3,8.1,295,"$50,000 or more",Income (years 2004 and beyond),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),90,87.6,91.9,203,"Less than $10,000",Income (years 2004 and beyond),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),7.6,6.1,9.6,164,"$10,000 to $24,999",Income (years 2004 and beyond),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92.4,90.4,93.9,217,"$10,000 to $24,999",Income (years 2004 and beyond),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92.8,91,94.2,238,"$25,000 to $49,999",Income (years 2004 and beyond),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),7.2,5.8,9,161,"$25,000 to $49,999",Income (years 2004 and beyond),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),10,8.1,12.4,167,"Less than $10,000",Income (years 2004 and beyond),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92.8,91.9,93.7,493,"$50,000 or more",Income (years 2004 and beyond),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),7.7,7.2,8.2,613,Married,Marital Status,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),9,7.5,10.9,219,Other,Marital Status,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92.3,91.8,92.8,953,Married,Marital Status,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),91,89.1,92.5,260,Other,Marital Status,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),8.7,6.2,12,82,<20 yrs,Maternal Age (3 Levels),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),7.4,6.6,8.3,408,20-29 yrs,Maternal Age (3 Levels),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),8.6,7.7,9.6,342,30+ yrs,Maternal Age (3 Levels),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),91.3,88,93.8,111,<20 yrs,Maternal Age (3 Levels),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),91.4,90.4,92.3,499,30+ yrs,Maternal Age (3 Levels),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92.6,91.7,93.4,603,20-29 yrs,Maternal Age (3 Levels),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),9.5,7.6,11.8,143,35+ yrs,Maternal Age (4 Levels),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),93.3,92.6,93.9,676,25-34 yrs,Maternal Age (4 Levels),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),91.3,88,93.8,111,<20 yrs,Maternal Age (4 Levels),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),89.8,87.6,91.6,237,20-24 yrs,Maternal Age (4 Levels),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),90.5,88.2,92.4,189,35+ yrs,Maternal Age (4 Levels),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),6.7,6.1,7.4,405,25-34 yrs,Maternal Age (4 Levels),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),10.2,8.4,12.4,202,20-24 yrs,Maternal Age (4 Levels),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),8.7,6.2,12,82,<20 yrs,Maternal Age (4 Levels),QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),89.6,87.8,91.2,306,Age 18 - 24,Maternal Age - 18 to 44 years in groupings,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),5,2.5,9.7,22,Age < 18,Maternal Age - 18 to 44 years in groupings,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),95,90.3,97.5,42,Age < 18,Maternal Age - 18 to 44 years in groupings,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),5.6,4.8,6.6,245,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),9.1,8,10.3,300,Age 30 - 44,Maternal Age - 18 to 44 years in groupings,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),10.4,8.8,12.2,262,Age 18 - 24,Maternal Age - 18 to 44 years in groupings,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),90.9,89.7,92,420,Age 30 - 44,Maternal Age - 18 to 44 years in groupings,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),94.4,93.4,95.2,444,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),91.9,91.6,92.1,1170,Age 18 - 44,Maternal Age - 18 to 44 years only,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),8.1,7.9,8.4,807,Age 18 - 44,Maternal Age - 18 to 44 years only,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92,90,93.7,211,< 12 yrs,Maternal Education,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),8,6.3,10,140,< 12 yrs,Maternal Education,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),8.8,7.1,10.9,174,12 yrs,Maternal Education,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),91.2,89.1,92.9,235,12 yrs,Maternal Education,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92.3,91.6,92.8,755,>12 yrs,Maternal Education,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),7.7,7.2,8.4,511,>12 yrs,Maternal Education,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),86.5,80.1,91.1,43,Other non-Hispanic,Maternal Race/Ethnicity,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),7.5,6.9,8.1,537,"White, non-Hispanic",Maternal Race/Ethnicity,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),20.8,12.3,32.8,36,"Black, non-Hispanic",Maternal Race/Ethnicity,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92.5,91.9,93.1,808,"White, non-Hispanic",Maternal Race/Ethnicity,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),7.1,5.9,8.6,207,Hispanic,Maternal Race/Ethnicity,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),79.2,67.2,87.7,16,"Black, non-Hispanic",Maternal Race/Ethnicity,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92.9,91.4,94.1,342,Hispanic,Maternal Race/Ethnicity,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),13.5,8.9,19.9,49,Other non-Hispanic,Maternal Race/Ethnicity,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),7.2,6.7,7.9,476,Non-Medicaid,Medicaid Recipient,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92.8,92.1,93.3,766,Non-Medicaid,Medicaid Recipient,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),9.2,8,10.5,356,Medicaid,Medicaid Recipient,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),90.8,89.5,92,446,Medicaid,Medicaid Recipient,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),8.4,7.9,9,613,Non-Hispanic,Mother Hispanic,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),7.1,5.9,8.6,207,Hispanic,Mother Hispanic,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92.9,91.4,94.1,342,Hispanic,Mother Hispanic,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),91.6,91,92.1,856,Non-Hispanic,Mother Hispanic,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92,91.7,92.2,1213,None,None,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),8,7.8,8.3,832,None,None,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),8,7.1,9,400,0,Number of Previous Live Births,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),8,7.2,8.8,430,1 or more,Number of Previous Live Births,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92,91,92.9,539,0,Number of Previous Live Births,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92,91.2,92.8,673,1 or more,Number of Previous Live Births,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),7.2,6.7,7.8,506,Non-WIC,On WIC during Pregnancy,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),9.4,8.1,10.8,319,WIC,On WIC during Pregnancy,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),90.6,89.2,91.9,401,WIC,On WIC during Pregnancy,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92.8,92.2,93.3,802,Non-WIC,On WIC during Pregnancy,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),91.3,90,92.5,430,Unintended,Pregnancy Intendedness,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92.3,91.7,92.9,772,Intended,Pregnancy Intendedness,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),7.7,7.1,8.3,524,Intended,Pregnancy Intendedness,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),8.7,7.5,10,305,Unintended,Pregnancy Intendedness,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),11.2,9.2,13.7,201,Smoker,Smoked 3 months before Pregnancy,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),7.3,6.9,7.7,618,Non-Smoker,Smoked 3 months before Pregnancy,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92.7,92.3,93.1,991,Non-Smoker,Smoked 3 months before Pregnancy,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),88.8,86.3,90.8,209,Smoker,Smoked 3 months before Pregnancy,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),7.4,7,7.7,693,Non-Smoker,Smoked last 3 months of Pregnancy,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),85.1,80.5,88.7,92,Smoker,Smoked last 3 months of Pregnancy,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,LBW (<=2500g),14.9,11.3,19.5,128,Smoker,Smoked last 3 months of Pregnancy,QUO7,8
"(38.843840757, -106.133610921)",Baby's Weight,Colorado,NBW (>2500g),92.6,92.3,93,1108,Non-Smoker,Smoked last 3 months of Pregnancy,QUO7,8
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),90.4,87.4,92.7,105,Unknown PNC,Adequacy of Prenatal care,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),92.6,90.6,94.2,177,Intermediate PNC,Adequacy of Prenatal care,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),7.4,5.8,9.4,44,Intermediate PNC,Adequacy of Prenatal care,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),10.8,7.4,15.3,24,Inadequate PNC,Adequacy of Prenatal care,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),7,6.4,7.7,151,Adequate PNC,Adequacy of Prenatal care,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),93,92.3,93.6,641,Adequate PNC,Adequacy of Prenatal care,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),89.2,84.7,92.6,57,Inadequate PNC,Adequacy of Prenatal care,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),9.6,7.3,12.6,39,Unknown PNC,Adequacy of Prenatal care,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),94,92.9,95,335,"$50,000 or more",Income (years 2004 and beyond),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),91.8,89.8,93.4,198,"$10,000 to $24,999",Income (years 2004 and beyond),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),6,5,7.1,72,"$50,000 or more",Income (years 2004 and beyond),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),91.3,89.1,93.1,169,"$25,000 to $49,999",Income (years 2004 and beyond),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),8.2,6.6,10.2,55,"$10,000 to $24,999",Income (years 2004 and beyond),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),8.4,6.8,10.4,57,"Less than $10,000",Income (years 2004 and beyond),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),91.6,89.6,93.2,191,"Less than $10,000",Income (years 2004 and beyond),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),8.7,6.9,10.9,50,"$25,000 to $49,999",Income (years 2004 and beyond),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),9.3,8.4,10.3,140,Other,Marital Status,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),90.7,89.7,91.6,448,Other,Marital Status,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),94,93.2,94.6,532,Married,Marital Status,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),6,5.4,6.8,118,Married,Marital Status,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),92,89,94.3,100,<20 yrs,Maternal Age (3 Levels),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),92.4,91.2,93.4,349,30+ yrs,Maternal Age (3 Levels),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),92.4,91.6,93.2,531,20-29 yrs,Maternal Age (3 Levels),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),7.6,6.8,8.4,139,20-29 yrs,Maternal Age (3 Levels),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),7.6,6.6,8.8,93,30+ yrs,Maternal Age (3 Levels),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),8,5.7,11,26,<20 yrs,Maternal Age (3 Levels),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),8.5,6.6,10.7,46,35+ yrs,Maternal Age (4 Levels),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),8,5.7,11,26,<20 yrs,Maternal Age (4 Levels),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),6.8,5.5,8.4,57,20-24 yrs,Maternal Age (4 Levels),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),7.7,6.9,8.6,129,25-34 yrs,Maternal Age (4 Levels),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),92,89,94.3,100,<20 yrs,Maternal Age (4 Levels),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),91.5,89.3,93.4,146,35+ yrs,Maternal Age (4 Levels),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),92.3,91.4,93.1,490,25-34 yrs,Maternal Age (4 Levels),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),93.2,91.6,94.5,244,20-24 yrs,Maternal Age (4 Levels),QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),6.3,3.1,12.5,6,Age < 18,Maternal Age - 18 to 44 years in groupings,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),92.6,91.2,93.7,305,Age 30 - 44,Maternal Age - 18 to 44 years in groupings,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),91.8,90.4,92.9,330,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),7.4,6.3,8.8,80,Age 30 - 44,Maternal Age - 18 to 44 years in groupings,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),7.3,6.1,8.6,77,Age 18 - 24,Maternal Age - 18 to 44 years in groupings,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),8.2,7.1,9.6,94,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),92.7,91.4,93.9,315,Age 18 - 24,Maternal Age - 18 to 44 years in groupings,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),93.7,87.5,96.9,29,Age < 18,Maternal Age - 18 to 44 years in groupings,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),92.4,92.2,92.5,950,Age 18 - 44,Maternal Age - 18 to 44 years only,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,LBW (<=2500g),7.6,7.5,7.8,251,Age 18 - 44,Maternal Age - 18 to 44 years only,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),89.4,87.4,91.1,226,12 yrs,Maternal Education,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),93.2,92.4,93.9,516,>12 yrs,Maternal Education,QUO7,10
"(39.008830667, -75.577741168)",Baby's Weight,Delaware,NBW (>2500g),94.1,92.6,95.3,236,< 12 yrs,Maternal Education,QUO7,10
