location,breakOutCategory,breakOut,response,value,lowConfidenceLimit,highConfidenceLimit,sampleSize
Utah,Maternal Age (4 Levels),<20 yrs,FALSE,80.4,69.9,87.8,70
Maryland,Maternal Age (4 Levels),<20 yrs,FALSE,69.7,51.4,83.3,39
Minnesota,Maternal Age (4 Levels),<20 yrs,TRUE,43.5,29.4,58.8,29
Utah,Maternal Age (4 Levels),<20 yrs,TRUE,19.6,12.2,30.1,20
New Jersey,Maternal Age (4 Levels),<20 yrs,TRUE,26.6,17.7,37.9,22
Hawaii,Maternal Age (4 Levels),<20 yrs,FALSE,60.2,46.8,72.2,70
West Virginia,Maternal Age (4 Levels),<20 yrs,TRUE,19.9,14,27.4,43
Maine,Maternal Age (4 Levels),<20 yrs,FALSE,86.4,72.7,93.8,57
New Jersey,Maternal Age (4 Levels),<20 yrs,FALSE,73.4,62.1,82.3,65
Minnesota,Maternal Age (4 Levels),<20 yrs,FALSE,56.5,41.2,70.6,41
Maine,Maternal Age (4 Levels),<20 yrs,TRUE,13.6,6.2,27.3,9
Michigan,Maternal Age (4 Levels),<20 yrs,TRUE,23.5,16.8,31.7,47
PRAMS Total,Maternal Age - 18 to 44 years in groupings,Age 18 - 24,FALSE,74,71.7,76.1,2233
PRAMS Total,Maternal Age - 18 to 44 years in groupings,Age 18 - 24,TRUE,26,23.9,28.3,881
Maine,Maternal Age - 18 to 44 years in groupings,Age 18 - 24,TRUE,26.2,20.5,32.7,76
New Jersey,Maternal Age - 18 to 44 years in groupings,Age 18 - 24,TRUE,22.8,18,28.3,74
Minnesota,Maternal Age - 18 to 44 years in groupings,Age 18 - 24,TRUE,35,28.9,41.7,106
Utah,Maternal Age - 18 to 44 years in groupings,Age 18 - 24,TRUE,24.1,19.7,29.2,97
Maryland,Maternal Age - 18 to 44 years in groupings,Age 18 - 24,FALSE,75.1,65.8,82.5,143
Minnesota,Maternal Age - 18 to 44 years in groupings,Age 18 - 24,FALSE,65,58.3,71.1,196
West Virginia,Maternal Age - 18 to 44 years in groupings,Age 18 - 24,TRUE,29.3,25.3,33.8,194
Maine,Maternal Age - 18 to 44 years in groupings,Age 18 - 24,FALSE,73.8,67.3,79.5,209
Utah,Maternal Age - 18 to 44 years in groupings,Age 18 - 24,FALSE,75.9,70.8,80.3,298
Hawaii,Maternal Age - 18 to 44 years in groupings,Age 18 - 24,FALSE,66.2,60,72,280
New Jersey,Maternal Age - 18 to 44 years in groupings,Age 18 - 24,FALSE,77.2,71.7,82,231
Michigan,Maternal Age - 18 to 44 years in groupings,Age 18 - 24,TRUE,24.1,20.2,28.5,154
Maryland,Maternal Age - 18 to 44 years in groupings,Age 18 - 24,TRUE,24.9,17.5,34.2,50
Hawaii,Maternal Age - 18 to 44 years in groupings,Age 18 - 24,TRUE,33.8,28,40,130
Michigan,Maternal Age - 18 to 44 years in groupings,Age 18 - 24,FALSE,75.9,71.5,79.8,390
West Virginia,Maternal Age - 18 to 44 years in groupings,Age 18 - 24,FALSE,70.7,66.2,74.7,486
PRAMS Total,Maternal Age - 18 to 44 years in groupings,Age 25 - 29,FALSE,65.9,63.8,67.9,2467
PRAMS Total,Maternal Age - 18 to 44 years in groupings,Age 25 - 29,TRUE,34.1,32.1,36.2,1348
Maryland,Maternal Age - 18 to 44 years in groupings,Age 25 - 29,FALSE,73.2,66.2,79.3,212
Minnesota,Maternal Age - 18 to 44 years in groupings,Age 25 - 29,TRUE,36.9,32.7,41.2,217
Utah,Maternal Age - 18 to 44 years in groupings,Age 25 - 29,TRUE,34,29.8,38.4,200
New Jersey,Maternal Age - 18 to 44 years in groupings,Age 25 - 29,FALSE,66.4,61.4,71.1,292
New Jersey,Maternal Age - 18 to 44 years in groupings,Age 25 - 29,TRUE,33.6,28.9,38.6,142
Michigan,Maternal Age - 18 to 44 years in groupings,Age 25 - 29,TRUE,35.6,31.2,40.3,199
West Virginia,Maternal Age - 18 to 44 years in groupings,Age 25 - 29,TRUE,33.4,28.5,38.7,161
Maine,Maternal Age - 18 to 44 years in groupings,Age 25 - 29,TRUE,35.5,30.2,41.2,141
Michigan,Maternal Age - 18 to 44 years in groupings,Age 25 - 29,FALSE,64.4,59.7,68.8,345
Maine,Maternal Age - 18 to 44 years in groupings,Age 25 - 29,FALSE,64.5,58.8,69.8,238
Hawaii,Maternal Age - 18 to 44 years in groupings,Age 25 - 29,TRUE,43.5,38,49.2,199
Utah,Maternal Age - 18 to 44 years in groupings,Age 25 - 29,FALSE,66,61.6,70.2,370
Hawaii,Maternal Age - 18 to 44 years in groupings,Age 25 - 29,FALSE,56.5,50.8,62,303
Minnesota,Maternal Age - 18 to 44 years in groupings,Age 25 - 29,FALSE,63.1,58.8,67.3,352
Maryland,Maternal Age - 18 to 44 years in groupings,Age 25 - 29,TRUE,26.8,20.7,33.8,89
West Virginia,Maternal Age - 18 to 44 years in groupings,Age 25 - 29,FALSE,66.6,61.3,71.5,355
PRAMS Total,Maternal Age - 18 to 44 years in groupings,Age 30 - 44,FALSE,60.8,58.8,62.8,2563
PRAMS Total,Maternal Age - 18 to 44 years in groupings,Age 30 - 44,TRUE,39.2,37.2,41.2,1652
Maine,Maternal Age - 18 to 44 years in groupings,Age 30 - 44,FALSE,58.6,52.6,64.4,190
West Virginia,Maternal Age - 18 to 44 years in groupings,Age 30 - 44,TRUE,31,24.8,38,101
Utah,Maternal Age - 18 to 44 years in groupings,Age 30 - 44,FALSE,66.1,60.8,71.1,298
Minnesota,Maternal Age - 18 to 44 years in groupings,Age 30 - 44,FALSE,56,51.1,60.8,253
Michigan,Maternal Age - 18 to 44 years in groupings,Age 30 - 44,FALSE,58.5,53.6,63.3,294
Utah,Maternal Age - 18 to 44 years in groupings,Age 30 - 44,TRUE,33.9,28.9,39.2,139
West Virginia,Maternal Age - 18 to 44 years in groupings,Age 30 - 44,FALSE,69,62,75.2,219
Maryland,Maternal Age - 18 to 44 years in groupings,Age 30 - 44,TRUE,36.7,31.9,41.7,364
Minnesota,Maternal Age - 18 to 44 years in groupings,Age 30 - 44,TRUE,44,39.2,48.9,211
Michigan,Maternal Age - 18 to 44 years in groupings,Age 30 - 44,TRUE,41.5,36.7,46.4,212
Hawaii,Maternal Age - 18 to 44 years in groupings,Age 30 - 44,TRUE,43.9,38.8,49.2,248
New Jersey,Maternal Age - 18 to 44 years in groupings,Age 30 - 44,TRUE,38.2,34.1,42.4,226
Hawaii,Maternal Age - 18 to 44 years in groupings,Age 30 - 44,FALSE,56.1,50.8,61.2,347
Maryland,Maternal Age - 18 to 44 years in groupings,Age 30 - 44,FALSE,63.3,58.3,68.1,565
Maine,Maternal Age - 18 to 44 years in groupings,Age 30 - 44,TRUE,41.4,35.6,47.4,151
New Jersey,Maternal Age - 18 to 44 years in groupings,Age 30 - 44,FALSE,61.8,57.6,65.9,397
PRAMS Total,Maternal Age - 18 to 44 years in groupings,Age < 18,FALSE,76.7,67.6,83.8,188
PRAMS Total,Maternal Age - 18 to 44 years in groupings,Age < 18,TRUE,23.3,16.2,32.4,53
Michigan,Maternal Age - 18 to 44 years in groupings,Age < 18,TRUE,15.3,6.9,30.4,9
Hawaii,Maternal Age - 18 to 44 years in groupings,Age < 18,FALSE,67.6,43.4,85,28
Hawaii,Maternal Age - 18 to 44 years in groupings,Age < 18,TRUE,32.4,15,56.6,9
West Virginia,Maternal Age - 18 to 44 years in groupings,Age < 18,FALSE,84.6,70.2,92.7,49
Michigan,Maternal Age - 18 to 44 years in groupings,Age < 18,FALSE,84.7,69.6,93.1,37
West Virginia,Maternal Age - 18 to 44 years in groupings,Age < 18,TRUE,15.4,7.3,29.8,10
PRAMS Total,Maternal Age - 18 to 44 years only,Age 18 - 44,FALSE,66.2,65,67.4,7263
PRAMS Total,Maternal Age - 18 to 44 years only,Age 18 - 44,TRUE,33.8,32.6,35,3881
Maryland,Maternal Age - 18 to 44 years only,Age 18 - 44,TRUE,30.4,26.9,34.2,503
New Jersey,Maternal Age - 18 to 44 years only,Age 18 - 44,TRUE,33.2,30.5,36,442
Michigan,Maternal Age - 18 to 44 years only,Age 18 - 44,TRUE,33.5,30.9,36.2,565
West Virginia,Maternal Age - 18 to 44 years only,Age 18 - 44,TRUE,31.1,28.2,34.1,456
Hawaii,Maternal Age - 18 to 44 years only,Age 18 - 44,FALSE,59.1,55.8,62.2,930
Utah,Maternal Age - 18 to 44 years only,Age 18 - 44,TRUE,31.2,28.5,34,436
Maine,Maternal Age - 18 to 44 years only,Age 18 - 44,FALSE,65.2,61.7,68.5,637
Maine,Maternal Age - 18 to 44 years only,Age 18 - 44,TRUE,34.8,31.5,38.3,368
Minnesota,Maternal Age - 18 to 44 years only,Age 18 - 44,FALSE,61,58.1,63.8,801
Michigan,Maternal Age - 18 to 44 years only,Age 18 - 44,FALSE,66.5,63.8,69.1,1029
West Virginia,Maternal Age - 18 to 44 years only,Age 18 - 44,FALSE,68.9,65.9,71.8,1060
Utah,Maternal Age - 18 to 44 years only,Age 18 - 44,FALSE,68.8,66,71.5,966
Hawaii,Maternal Age - 18 to 44 years only,Age 18 - 44,TRUE,40.9,37.8,44.2,577
Minnesota,Maternal Age - 18 to 44 years only,Age 18 - 44,TRUE,39,36.2,41.9,534
Maryland,Maternal Age - 18 to 44 years only,Age 18 - 44,FALSE,69.6,65.8,73.1,920
New Jersey,Maternal Age - 18 to 44 years only,Age 18 - 44,FALSE,66.8,64,69.5,920
PRAMS Total,Maternal Education,12 yrs,FALSE,73.6,71.2,75.8,2215
PRAMS Total,Maternal Education,12 yrs,TRUE,26.4,24.2,28.8,867
Utah,Maternal Education,12 yrs,FALSE,74.6,68.3,80,190
Maryland,Maternal Education,12 yrs,TRUE,21.6,14.9,30.3,63
Michigan,Maternal Education,12 yrs,FALSE,74.5,69.3,79,310
Hawaii,Maternal Education,12 yrs,FALSE,62.2,57.2,66.9,417
Utah,Maternal Education,12 yrs,TRUE,25.4,20,31.7,61
Maryland,Maternal Education,12 yrs,FALSE,78.4,69.7,85.1,194
Hawaii,Maternal Education,12 yrs,TRUE,37.8,33.1,42.8,235
New Jersey,Maternal Education,12 yrs,FALSE,75.9,70.4,80.6,260
Maine,Maternal Education,12 yrs,FALSE,75.6,69.9,80.6,247
Maine,Maternal Education,12 yrs,TRUE,24.4,19.4,30.1,88
West Virginia,Maternal Education,12 yrs,FALSE,76.2,71.5,80.4,439
Minnesota,Maternal Education,12 yrs,FALSE,65.9,58.4,72.6,158
Minnesota,Maternal Education,12 yrs,TRUE,34.1,27.4,41.6,84
West Virginia,Maternal Education,12 yrs,TRUE,23.8,19.6,28.5,135
Michigan,Maternal Education,12 yrs,TRUE,25.5,21,30.7,118
New Jersey,Maternal Education,12 yrs,TRUE,24.1,19.4,29.6,83
PRAMS Total,Maternal Education,< 12 yrs,FALSE,74.5,71,77.6,1029
PRAMS Total,Maternal Education,< 12 yrs,TRUE,25.5,22.4,29,397
Maryland,Maternal Education,< 12 yrs,TRUE,24.9,16.1,36.5,33
Michigan,Maternal Education,< 12 yrs,TRUE,26.4,20.1,33.7,72
Utah,Maternal Education,< 12 yrs,FALSE,76.6,71.2,81.3,214
Maine,Maternal Education,< 12 yrs,FALSE,75.3,61.3,85.5,54
Maine,Maternal Education,< 12 yrs,TRUE,24.7,14.5,38.7,21
Hawaii,Maternal Education,< 12 yrs,TRUE,35.4,24.3,48.4,35
Michigan,Maternal Education,< 12 yrs,FALSE,73.6,66.3,79.9,143
Maryland,Maternal Education,< 12 yrs,FALSE,75.1,63.5,83.9,117
Minnesota,Maternal Education,< 12 yrs,FALSE,68.1,57.6,77.1,85
New Jersey,Maternal Education,< 12 yrs,FALSE,80.1,72.8,85.8,122
Utah,Maternal Education,< 12 yrs,TRUE,23.4,18.7,28.8,68
New Jersey,Maternal Education,< 12 yrs,TRUE,19.9,14.2,27.2,39
West Virginia,Maternal Education,< 12 yrs,TRUE,30.9,24.5,38.1,88
West Virginia,Maternal Education,< 12 yrs,FALSE,69.1,61.9,75.5,228
Hawaii,Maternal Education,< 12 yrs,FALSE,64.6,51.6,75.7,66
Minnesota,Maternal Education,< 12 yrs,TRUE,31.9,22.9,42.4,41
PRAMS Total,Maternal Education,>12 yrs,FALSE,62.1,60.6,63.6,4147
PRAMS Total,Maternal Education,>12 yrs,TRUE,37.9,36.4,39.4,2654
West Virginia,Maternal Education,>12 yrs,FALSE,65,60.6,69.2,442
Maine,Maternal Education,>12 yrs,FALSE,59,54.6,63.3,350
Minnesota,Maternal Education,>12 yrs,FALSE,57.6,54.3,60.8,562
Maryland,Maternal Education,>12 yrs,TRUE,34.1,29.7,38.7,411
Michigan,Maternal Education,>12 yrs,TRUE,37.5,34.2,41,383
Minnesota,Maternal Education,>12 yrs,TRUE,42.4,39.2,45.7,424
Hawaii,Maternal Education,>12 yrs,FALSE,56.6,52,61,468
Michigan,Maternal Education,>12 yrs,FALSE,62.5,59,65.8,610
Maine,Maternal Education,>12 yrs,TRUE,41,36.7,45.4,261
Hawaii,Maternal Education,>12 yrs,TRUE,43.4,39,48,312
Utah,Maternal Education,>12 yrs,FALSE,66,62.3,69.5,539
West Virginia,Maternal Education,>12 yrs,TRUE,35,30.8,39.4,244
New Jersey,Maternal Education,>12 yrs,TRUE,39,35.5,42.6,322
New Jersey,Maternal Education,>12 yrs,FALSE,61,57.4,64.5,553
Maryland,Maternal Education,>12 yrs,FALSE,65.9,61.3,70.3,623
Utah,Maternal Education,>12 yrs,TRUE,34,30.5,37.7,297
PRAMS Total,Maternal Race/Ethnicity,"Black, non-Hispanic",FALSE,69.9,66.8,72.8,1039
PRAMS Total,Maternal Race/Ethnicity,"Black, non-Hispanic",TRUE,30.1,27.2,33.2,533
Minnesota,Maternal Race/Ethnicity,"Black, non-Hispanic",TRUE,45.6,36,55.6,65
Michigan,Maternal Race/Ethnicity,"Black, non-Hispanic",FALSE,66.8,62.7,70.6,403
Minnesota,Maternal Race/Ethnicity,"Black, non-Hispanic",FALSE,54.4,44.4,64,74
Maryland,Maternal Race/Ethnicity,"Black, non-Hispanic",TRUE,23.5,17.7,30.3,136
West Virginia,Maternal Race/Ethnicity,"Black, non-Hispanic",FALSE,62,40.5,79.6,25
West Virginia,Maternal Race/Ethnicity,"Black, non-Hispanic",TRUE,38,20.4,59.5,16
New Jersey,Maternal Race/Ethnicity,"Black, non-Hispanic",TRUE,30.9,25,37.6,77
New Jersey,Maternal Race/Ethnicity,"Black, non-Hispanic",FALSE,69.1,62.4,75,173
Michigan,Maternal Race/Ethnicity,"Black, non-Hispanic",TRUE,33.2,29.4,37.3,216
Maryland,Maternal Race/Ethnicity,"Black, non-Hispanic",FALSE,76.5,69.7,82.3,330
PRAMS Total,Maternal Race/Ethnicity,TRUE,FALSE,73.8,70.5,76.9,935
PRAMS Total,Maternal Race/Ethnicity,TRUE,TRUE,26.2,23.1,29.5,347
Michigan,Maternal Race/Ethnicity,TRUE,TRUE,31.5,20.7,44.8,19
Minnesota,Maternal Race/Ethnicity,TRUE,FALSE,66.7,54.1,77.3,51
Maryland,Maternal Race/Ethnicity,TRUE,TRUE,24.1,16.3,34,53
Hawaii,Maternal Race/Ethnicity,TRUE,TRUE,33.6,26.7,41.3,86
Utah,Maternal Race/Ethnicity,TRUE,TRUE,27,21.3,33.6,75
Hawaii,Maternal Race/Ethnicity,TRUE,FALSE,66.4,58.7,73.3,184
Maryland,Maternal Race/Ethnicity,TRUE,FALSE,75.9,66,83.7,145
Minnesota,Maternal Race/Ethnicity,TRUE,TRUE,33.3,22.7,45.9,27
Utah,Maternal Race/Ethnicity,TRUE,FALSE,73,66.4,78.7,225
New Jersey,Maternal Race/Ethnicity,TRUE,TRUE,23.2,18.9,28.2,79
Michigan,Maternal Race/Ethnicity,TRUE,FALSE,68.5,55.2,79.3,47
New Jersey,Maternal Race/Ethnicity,TRUE,FALSE,76.8,71.8,81.1,267
PRAMS Total,Maternal Race/Ethnicity,Other non-Hispanic,FALSE,64.1,61,67.2,1184
PRAMS Total,Maternal Race/Ethnicity,Other non-Hispanic,TRUE,35.9,32.8,39,720
Maine,Maternal Race/Ethnicity,Other non-Hispanic,FALSE,64.3,43.6,80.7,23
Hawaii,Maternal Race/Ethnicity,Other non-Hispanic,FALSE,57.1,52.9,61.1,562
Utah,Maternal Race/Ethnicity,Other non-Hispanic,TRUE,31.4,20.2,45.3,20
Maine,Maternal Race/Ethnicity,Other non-Hispanic,TRUE,35.7,19.3,56.4,8
Hawaii,Maternal Race/Ethnicity,Other non-Hispanic,TRUE,42.9,38.9,47.1,379
Maryland,Maternal Race/Ethnicity,Other non-Hispanic,FALSE,75,63.2,83.9,88
Maryland,Maternal Race/Ethnicity,Other non-Hispanic,TRUE,25,16.1,36.8,51
Utah,Maternal Race/Ethnicity,Other non-Hispanic,FALSE,68.6,54.7,79.8,45
New Jersey,Maternal Race/Ethnicity,Other non-Hispanic,TRUE,31.5,26.4,37.1,103
Michigan,Maternal Race/Ethnicity,Other non-Hispanic,TRUE,35.1,24.9,46.9,31
New Jersey,Maternal Race/Ethnicity,Other non-Hispanic,FALSE,68.5,62.9,73.6,207
Michigan,Maternal Race/Ethnicity,Other non-Hispanic,FALSE,64.9,53.1,75.1,56
Minnesota,Maternal Race/Ethnicity,Other non-Hispanic,TRUE,40.3,32.7,48.4,117
Minnesota,Maternal Race/Ethnicity,Other non-Hispanic,FALSE,59.7,51.6,67.3,194
PRAMS Total,Maternal Race/Ethnicity,"White, non-Hispanic",FALSE,64.4,62.8,66,4282
PRAMS Total,Maternal Race/Ethnicity,"White, non-Hispanic",TRUE,35.6,34,37.2,2339
Hawaii,Maternal Race/Ethnicity,"White, non-Hispanic",TRUE,39.7,32.8,47,111
Minnesota,Maternal Race/Ethnicity,"White, non-Hispanic",TRUE,39.8,36.5,43.1,340
Utah,Maternal Race/Ethnicity,"White, non-Hispanic",TRUE,32,28.9,35.2,335
West Virginia,Maternal Race/Ethnicity,"White, non-Hispanic",TRUE,29.8,27,32.8,436
Hawaii,Maternal Race/Ethnicity,"White, non-Hispanic",FALSE,60.3,53,67.2,200
New Jersey,Maternal Race/Ethnicity,"White, non-Hispanic",TRUE,39.8,35.3,44.5,187
Maryland,Maternal Race/Ethnicity,"White, non-Hispanic",TRUE,37.5,32.1,43.3,271
Michigan,Maternal Race/Ethnicity,"White, non-Hispanic",FALSE,67.1,63.7,70.3,558
Maine,Maternal Race/Ethnicity,"White, non-Hispanic",TRUE,34.4,31.1,38,351
West Virginia,Maternal Race/Ethnicity,"White, non-Hispanic",FALSE,70.2,67.2,73,1071
Maryland,Maternal Race/Ethnicity,"White, non-Hispanic",FALSE,62.5,56.7,67.9,375
Michigan,Maternal Race/Ethnicity,"White, non-Hispanic",TRUE,32.9,29.7,36.3,308
Utah,Maternal Race/Ethnicity,"White, non-Hispanic",FALSE,68,64.8,71.1,692
Minnesota,Maternal Race/Ethnicity,"White, non-Hispanic",FALSE,60.2,56.9,63.5,487
New Jersey,Maternal Race/Ethnicity,"White, non-Hispanic",FALSE,60.2,55.5,64.7,290
Maine,Maternal Race/Ethnicity,"White, non-Hispanic",FALSE,65.6,62,68.9,609
PRAMS Total,Medicaid Recipient,TRUE,FALSE,76.1,74.4,77.7,3924
PRAMS Total,Medicaid Recipient,TRUE,TRUE,23.9,22.3,25.6,1394
Maryland,Medicaid Recipient,TRUE,FALSE,82.6,76.8,87.2,399
Michigan,Medicaid Recipient,TRUE,TRUE,23,20,26.3,254
Minnesota,Medicaid Recipient,TRUE,TRUE,28.5,24,33.5,157
New Jersey,Medicaid Recipient,TRUE,FALSE,76.9,72.6,80.7,397
Utah,Medicaid Recipient,TRUE,TRUE,26.4,22.4,30.9,148
New Jersey,Medicaid Recipient,TRUE,TRUE,23.1,19.3,27.4,122
West Virginia,Medicaid Recipient,TRUE,TRUE,25.9,22.6,29.4,265
Utah,Medicaid Recipient,TRUE,FALSE,73.6,69.1,77.6,424
Minnesota,Medicaid Recipient,TRUE,FALSE,71.5,66.5,76,348
Hawaii,Medicaid Recipient,TRUE,TRUE,34.7,29.9,39.7,205
Maine,Medicaid Recipient,TRUE,FALSE,75.7,71.2,79.7,422
Michigan,Medicaid Recipient,TRUE,FALSE,77,73.7,80,688
Hawaii,Medicaid Recipient,TRUE,FALSE,65.3,60.3,70.1,447
West Virginia,Medicaid Recipient,TRUE,FALSE,74.1,70.6,77.4,799
Maine,Medicaid Recipient,TRUE,TRUE,24.3,20.3,28.8,143
Maryland,Medicaid Recipient,TRUE,TRUE,17.4,12.8,23.2,100
PRAMS Total,Medicaid Recipient,FALSE,FALSE,59.4,57.7,61,3544
PRAMS Total,Medicaid Recipient,FALSE,TRUE,40.6,39,42.3,2553
Hawaii,Medicaid Recipient,FALSE,FALSE,55.6,51.4,59.7,513
Maryland,Medicaid Recipient,FALSE,TRUE,38,33.3,42.9,412
Utah,Medicaid Recipient,FALSE,FALSE,66.4,62.8,69.9,565
Minnesota,Medicaid Recipient,FALSE,TRUE,45.2,41.7,48.7,392
Michigan,Medicaid Recipient,FALSE,FALSE,55.5,51.4,59.5,380
Hawaii,Medicaid Recipient,FALSE,TRUE,44.4,40.3,48.6,382
Maine,Medicaid Recipient,FALSE,TRUE,46.1,41.1,51.2,227
Maine,Medicaid Recipient,FALSE,FALSE,53.9,48.8,58.9,233
West Virginia,Medicaid Recipient,FALSE,FALSE,61.9,56.8,66.8,312
Minnesota,Medicaid Recipient,FALSE,FALSE,54.8,51.3,58.3,461
Utah,Medicaid Recipient,FALSE,TRUE,33.6,30.1,37.2,293
New Jersey,Medicaid Recipient,FALSE,FALSE,61.3,57.6,64.7,540
Maryland,Medicaid Recipient,FALSE,FALSE,62,57.1,66.7,540
New Jersey,Medicaid Recipient,FALSE,TRUE,38.7,35.3,42.4,324
West Virginia,Medicaid Recipient,FALSE,TRUE,38.1,33.2,43.2,202
Michigan,Medicaid Recipient,FALSE,TRUE,44.5,40.5,48.6,321
PRAMS Total,Mother Hispanic,TRUE,TRUE,26.2,23.1,29.5,347
PRAMS Total,Mother Hispanic,TRUE,FALSE,73.8,70.5,76.9,935
Minnesota,Mother Hispanic,TRUE,TRUE,33.3,22.7,45.9,27
Michigan,Mother Hispanic,TRUE,TRUE,31.5,20.7,44.8,19
Utah,Mother Hispanic,TRUE,TRUE,27,21.3,33.6,75
Utah,Mother Hispanic,TRUE,FALSE,73,66.4,78.7,225
New Jersey,Mother Hispanic,TRUE,FALSE,76.8,71.8,81.1,267
Hawaii,Mother Hispanic,TRUE,FALSE,66.4,58.7,73.3,184
Maryland,Mother Hispanic,TRUE,TRUE,24.1,16.3,34,53
Maryland,Mother Hispanic,TRUE,FALSE,75.9,66,83.7,145
New Jersey,Mother Hispanic,TRUE,TRUE,23.2,18.9,28.2,79
Minnesota,Mother Hispanic,TRUE,FALSE,66.7,54.1,77.3,51
Michigan,Mother Hispanic,TRUE,FALSE,68.5,55.2,79.3,47
Hawaii,Mother Hispanic,TRUE,TRUE,33.6,26.7,41.3,86
PRAMS Total,Mother Hispanic,FALSE,FALSE,65.3,64,66.5,6514
PRAMS Total,Mother Hispanic,FALSE,TRUE,34.7,33.5,36,3593
Minnesota,Mother Hispanic,FALSE,FALSE,59.9,56.9,62.8,748
Minnesota,Mother Hispanic,FALSE,TRUE,40.1,37.2,43.1,518
West Virginia,Mother Hispanic,FALSE,FALSE,69.8,66.9,72.6,1102
Utah,Mother Hispanic,FALSE,FALSE,68.2,65.1,71.1,764
Maine,Mother Hispanic,FALSE,TRUE,34.4,31.1,37.9,366
Maryland,Mother Hispanic,FALSE,TRUE,31.4,27.5,35.5,459
Maryland,Mother Hispanic,FALSE,FALSE,68.6,64.5,72.5,794
Michigan,Mother Hispanic,FALSE,TRUE,33.1,30.5,35.8,555
Hawaii,Mother Hispanic,FALSE,TRUE,42.2,38.7,45.7,501
Utah,Mother Hispanic,FALSE,TRUE,31.8,28.9,34.9,366
New Jersey,Mother Hispanic,FALSE,FALSE,63.4,60.1,66.7,669
Michigan,Mother Hispanic,FALSE,FALSE,66.9,64.2,69.5,1017
Hawaii,Mother Hispanic,FALSE,FALSE,57.8,54.3,61.3,776
New Jersey,Mother Hispanic,FALSE,TRUE,36.6,33.3,39.9,366
Maine,Mother Hispanic,FALSE,FALSE,65.6,62.1,68.9,644
West Virginia,Mother Hispanic,FALSE,TRUE,30.2,27.4,33.1,462
PRAMS Total,None,None,FALSE,66.4,65.2,67.6,7468
PRAMS Total,None,None,TRUE,33.6,32.4,34.8,3947
Utah,None,None,TRUE,31,28.3,33.8,441
West Virginia,None,None,FALSE,69.6,66.6,72.3,1111
New Jersey,None,None,FALSE,67,64.2,69.6,937
Michigan,None,None,FALSE,67.1,64.4,69.6,1068
Maryland,None,None,TRUE,30.2,26.7,34,512
West Virginia,None,None,TRUE,30.4,27.7,33.4,467
Michigan,None,None,TRUE,32.9,30.4,35.6,575
Minnesota,None,None,TRUE,39.5,36.7,42.5,549
Maine,None,None,FALSE,65.8,62.4,69.1,655
New Jersey,None,None,TRUE,33,30.4,35.8,446
Maine,None,None,TRUE,34.2,30.9,37.6,370
Maryland,None,None,FALSE,69.8,66,73.3,939
Hawaii,None,None,FALSE,59.3,56.1,62.4,960
Minnesota,None,None,FALSE,60.5,57.5,63.3,809
Hawaii,None,None,TRUE,40.7,37.6,43.9,587
Utah,None,None,FALSE,69,66.2,71.7,989
PRAMS Total,Number of Previous Live Births,0,FALSE,63.7,61.7,65.6,2984
PRAMS Total,Number of Previous Live Births,0,TRUE,36.3,34.4,38.3,1671
West Virginia,Number of Previous Live Births,0,FALSE,71.7,67.3,75.7,509
Minnesota,Number of Previous Live Births,0,TRUE,42.2,37.8,46.8,240
Minnesota,Number of Previous Live Births,0,FALSE,57.8,53.2,62.2,316
Michigan,Number of Previous Live Births,0,FALSE,66.4,62.3,70.3,452
Maryland,Number of Previous Live Births,0,FALSE,66.4,59.8,72.3,307
Utah,Number of Previous Live Births,0,FALSE,69.3,64.2,74,298
Hawaii,Number of Previous Live Births,0,FALSE,61.1,56,65.9,413
Michigan,Number of Previous Live Births,0,TRUE,33.6,29.7,37.7,247
Maine,Number of Previous Live Births,0,FALSE,64,59.1,68.6,323
Hawaii,Number of Previous Live Births,0,TRUE,38.9,34.1,44,238
Utah,Number of Previous Live Births,0,TRUE,30.7,26,35.8,142
New Jersey,Number of Previous Live Births,0,FALSE,59.3,54.9,63.6,366
West Virginia,Number of Previous Live Births,0,TRUE,28.3,24.3,32.7,190
Maryland,Number of Previous Live Births,0,TRUE,33.6,27.7,40.2,201
Maine,Number of Previous Live Births,0,TRUE,36,31.4,40.9,189
New Jersey,Number of Previous Live Births,0,TRUE,40.7,36.4,45.1,224
PRAMS Total,Number of Previous Live Births,1 or more,FALSE,68.3,66.8,69.8,4438
PRAMS Total,Number of Previous Live Births,1 or more,TRUE,31.7,30.2,33.2,2243
West Virginia,Number of Previous Live Births,1 or more,FALSE,67.9,63.9,71.7,602
Maryland,Number of Previous Live Births,1 or more,TRUE,28.2,23.9,33,290
Michigan,Number of Previous Live Births,1 or more,TRUE,32.5,29.2,36,328
Minnesota,Number of Previous Live Births,1 or more,TRUE,37.6,33.9,41.5,299
Hawaii,Number of Previous Live Births,1 or more,FALSE,58.1,53.9,62.2,547
New Jersey,Number of Previous Live Births,1 or more,TRUE,27.6,24.4,31.2,222
Maine,Number of Previous Live Births,1 or more,TRUE,32.6,28.1,37.5,181
Maine,Number of Previous Live Births,1 or more,FALSE,67.4,62.5,71.9,332
Maryland,Number of Previous Live Births,1 or more,FALSE,71.8,67,76.1,604
New Jersey,Number of Previous Live Births,1 or more,FALSE,72.4,68.8,75.6,571
Minnesota,Number of Previous Live Births,1 or more,FALSE,62.4,58.5,66.1,476
